Level,Spell Name,Spell Description,Skill,Mana,Tag,Class
16,Spellshield,"A magical shield encircles you, increasing your HP by 50, AC by 15, and Magic Resistance by 15.",Abj,50,+HP | +AC | Resist | Magic | (self only),Necromancer
16,Steal Strength,"Steal power from your target, decreasing their Strength by 5 and increasing yours by the same amount for 5 minutes.",Alt,10,Stat Debuff | +STR,Necromancer
16,Summon Lesser Lifestone,"Summon a Lesser Lifestone, restoring 75 Health when consumed at the cost of 100 Health. This item can be traded to other players. This item does not persist after logging out.",Con,80,Summon Lifestone,Necromancer
16,Venomous Deluge,"Showers your target in a venomous deluge, dealing 40 Poison Damage and an additional 20 Poison Damage every 6 seconds for 30 seconds.",Con,70,Direct Damage | Damage Over Time | Poison,Necromancer
16,Zombie Pet Tier 5,"Reanimates flesh from the dead, creating a zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,130,Pet,Necromancer
16,Burning Bones,"Reanimate bone, conjuring a burning skeleton to serve you. This spell persists until the death of the pet or master. This spell requires Bone Chips.",Con,60,Pet,Necromancer
20,Beset the Dead,Wards off an undead target with holy energy for 90 points of Holy Damage.,Evo,,Direct Damage | Holy | (undead only),Necromancer
20,Covenant of Life,"Form a covenant of life with your target, restoring 20 Health every 6 seconds and draining yours by the same amount for 24 seconds.",Alt,10,Transfer Health,Necromancer
20,Death Pact,"Form a blood pact with the dead, increasing your Mana Regeneration by 6 Mana per 6 second tick, but also damaging you over time for 6 Damage every 6 seconds for 30 minutes.",Alt,5,Mana Regen | (self only),Necromancer
20,Ghoul Pet Tier 6,"Reanimates a corrupted being from the dead, creating a ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,170,Pet | Snare,Necromancer
20,Mental Surge,"Fills your target's mind with a mental surge, granting them 50 Mana at the cost of 75 Mana.",Alt,75,Transfer Mana,Necromancer
20,Reanimate Ally,"Reanimates the corpse of a player character, returning the character to their corpse and restoring 100% of experience lost. The reanimated player will die after 1 minute.",,,Resurrection,Necromancer
20,Root,"Roots emerge from the ground and cling to your target's feet, applying an immobilize effect for 30 seconds. This effect has a change to be removed by Damage or end early. Limit one.",Alt,15,Root,Necromancer
20,Skeleton Pet Tier 6,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of pet or master. Requires Bone Chips.",Con,170,Pet,Necromancer
20,Unrelenting Dead,"Infuse your pet with unrelenting might, increasing their Attack Speed by 20% and Strength by 5.",Alt,60,+STR | Melee Haste | (pet only),Necromancer
20,Whirling Shadows,"Conjures whirling shadows, slowing your targets movement speed by 50% and inflicting 9 Corruption Damage every 6 seconds for 48 seconds.",Alt,40,Damage Over Time | Corruption | Snare,Necromancer
20,Zombie Pet Tier 6,"Reanimates flesh from the dead, creating a zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,170,Pet,Necromancer
24,Beguile Dead,"Charm a target undead, forcing them to fight alongside you.",Con,,Charm | (undead only),Necromancer
24,Cold Resistance,"Greatly wards your target from frost, increasing their Cold Resistance by 15.",Abj,,Resist | Cold,Necromancer
24,Ghoul Pet Tier 7,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,210,Pet | Snare,Necromancer
24,Greater Spellshield,"A magical shield encircles you, increasing your HP by 75, AC by 20, and Magic Resistance by 20.",Abj,75,+HP | +AC | Resist | Magic | (self only),Necromancer
24,Holy Resistance,"Greatly wards your target from frost, increasing their Holy Resistance by 15.",Abj,,Resist | Holy,Necromancer
24,Leech Essence,"Leech the essence of your target, dealing 20 Corruption Damage every 6 seconds and restoring your Health by the same amount for 1 minute.",Evo,125,Damage Over Time | Corruption | Lifetap,Necromancer
24,Life Leech,"Leeches your target's life force, dealing 165 damage and healing you for the same amount.",Evo,115,Direct Damage | Corruption | Lifetap,Necromancer
24,Sacrificial Embrace,"Embrace your target with looming shadows, restoring 80 Health and draining yours by the same amount.",Alt,45,Transfer Health,Necromancer
24,Skeleton Pet Tier 7,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,210,Pet,Necromancer
24,Spirit Crack,"Crack the spiritual defenses of your target, decreasing their Corruption, Holy, and Magic Resistance by 5 (L24) to 6 (L28). This spell is unresistable if the target is not immune to magic or it can otherwise be landed normally.",Alt,40,Lower Resistance | Corruption | Holy | Magic,Necromancer
24,Stitch the Dead,"Stitch the body of an undead pet, restoring 180 Health.",Alt,85,Direct Heal | (pet only),Necromancer
24,Summon Corpse,Summons corpse.,Div,,Misc.,Necromancer
24,Toxic Deluge,"Showers your target in a toxic deluge, dealing 90 damage and an additional 45 damage every 6 seconds for 30 seconds.",Con,135,Direct Damage | Damage Over Time | Poison,Necromancer
24,Zombie Pet Tier 7,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,210,Pet,Necromancer
28,Arcane Surge,Grants your target 90 Mana at the cost of 130 Mana,Alt,130,Transfer Mana,Necromancer
28,Ghoul Pet Tier 8,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,260,Pet | Snare,Necromancer
28,Shuddering Sickness,"Infect your target with sickness, dealing 30 Disease Damage every 6 seconds for 1 minute.",Con,105,Damage Over Time | Disease,Necromancer
28,Skeleton Pet Tier 8,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,260,Pet,Necromancer
28,Summon Lifestone,"Summon a Lifestone, restoring 390 Health when consumed at the cost of 520 Health. This item can be traded to other players. This item does not persist after logging out.",Con,200,Summon Lifestone,Necromancer
28,Twisting Shadows,"Conjures twisting shadows, slowing your targets movement speed by 55% and inflicting 15 Corruption Damage every 6 seconds for 60 seconds.",Alt,70,Damage Over Time | Corruption | Snare,Necromancer
28,Zombie Pet Tier 8,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,260,Pet,Necromancer
32,Abolish Magic,Removes two harmful magical effects from your current target.,Alt,100,Cure | Magic,Necromancer
32,Exceptional Spellshield,"A magical shield encircles you, increasing your HP by 100, AC by 25, and Magic Resistance by 25.",Abj,125,+HP | +AC | Resist | Magic | (self only),Necromancer
32,Extract Strength,"Extract power from your target, decreasing their Strength by 10 and increasing yours by the same amount for 5 minutes.",Alt,15,Stat Debuff | +STR,Necromancer
32,Ghoul Pet Tier 9,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,310,Pet | Snare,Necromancer
32,Pernicious Deluge,"Showers your target in a pernicious deluge, dealing 150 damage and an additional 75 damage every 6 seconds for 30 seconds.",Con,185,Direct Damage | Damage Over Time | Poison,Necromancer
32,Rebuff the Dead,Wards an Undead target with holy energy for 150 points of Holy Damage.,Evo,70,Direct Damage | Holy | (undead only),Necromancer
32,Shed Bones,"Shed away your bones, increasing your Mana Regeneration by 8 at the cost of 10 Health every 6 seconds.",Alt,5,Mana Regen | Shapeshift | (self only),Necromancer
32,Skeleton Pet Tier 9,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,310,Pet,Necromancer
32,Zombie Pet Tier 9,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,310,Pet,Necromancer
36,Afflicting Ailment,"Infect your target with an ailment, dealing 55 Disease Damage every 6 seconds for 1 minute.",Con,155,Damage Over Time | Disease,Necromancer
36,Coax Undead,"Charm a target undead, forcing them to fight alongside you.",Con,175,Charm | (undead only),Necromancer
36,Ghoul Pet Tier 10,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,360,Pet | Snare,Necromancer
36,Leech Spirit,"Leech the spirit of your target, dealing 40 Corruption Damage every 6 seconds and restoring your Health by the same amount for 1 minute.",Evo,200,Damage Over Time | Corruption | Lifetap,Necromancer
36,Life Tap,"Taps your target's life force, dealing 270 damage and healing you for the same amount.",Evo,160,Direct Damage | Corruption | Lifetap,Necromancer
36,Reconstruct the Dead,"Reconstruct the body of an undead pet, restoring 420 Health.",Alt,145,Direct Heal | (pet only),Necromancer
36,Skeleton Pet Tier 10,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,360,Pet,Necromancer
36,Spiraling Shadows,"Conjures spiraling shadows, slowing your targets movement speed by 60% and inflicting 25 Corruption Damage every 6 seconds for 72 seconds.",Alt,120,Damage Over Time | Corruption | Snare,Necromancer
36,Unyielding Dead,"Infuse your pet with unyielding might, increasing their Attack Speed by 30% and Strength by 10.",Alt,125,+STR | Melee Haste | (pet only),Necromancer
36,Zombie Pet Tier 10,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,360,Pet,Necromancer
40,Arch Spellshield,"A magical shield encircles you, increasing your HP by 150, AC by 30, and Magic Resistance by 30.",Abj,175,+HP | +AC | Resist | Magic | (self only),Necromancer
40,Covenant of Darkness,"Form a covenant of darkness with your target, restoring 90 Health every 6 seconds and draining yours by the same amount for 24 seconds.",Alt,15,Transfer Health,Necromancer
40,Ghoul Pet Tier 11,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,420,Pet | Snare,Necromancer
40,Skeleton Pet Tier 11,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,420,Pet,Necromancer
40,Spirit Fracture,"Fractures the spiritual defenses of your target, decreasing their Corruption, Holy, and Magic Resistance by 7 (L40) to 8 (L44). This spell is unresistable if the target is not immune to magic or it can otherwise be landed normally.",Alt,55,Lower Resistance | Corruption | Holy | Magic,Necromancer
40,Summon Greater Lifestone,"Summon a Greater Lifestone, restoring 705 Health when consumed on a 5-minute cooldown. This item can be traded to other players, and will be lost when logging out after a short period of time.",Con,250,Summon Lifestone,Necromancer
40,Zombie Pet Tier 11,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,420,Pet,Necromancer
44,Beleaguer the Dead,Wards off an undead target with holy energy for 245 points of Holy Damage.,Evo,95,Direct Damage | Holy | (undead only),Necromancer
44,Corporeal Embrace,"Embrace your target with consuming shadows, restoring 225 Health and draining yours by the same amount.",Alt,115,Transfer Health,Necromancer
44,Ghoul Pet Tier 12,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,460,Pet | Snare,Necromancer
44,Irking Illness,"Infect your target with an illness, dealing 80 Disease Damage every 6 seconds for 1 minute.",Con,180,Damage Over Time | Disease,Necromancer
44,Skeleton Pet Tier 12,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,460,Pet,Necromancer
44,Vile Deluge,"Showers your target in a Vile deluge, dealing 250 damage and an additional 125 Poison damage every 6 seconds for 30 seconds.",Con,250,Direct Damage | Damage Over Time | Poison,Necromancer
44,Zombie Pet Tier 12,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,460,Pet,Necromancer
48,Ghoul Pet Tier 13,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,,Pet | Snare,Necromancer
48,Leech Soul,"Leech the soul of your target, dealing 80 Corruption Damage every 6 seconds and restoring your Health by the same amount for 1 minute.",Evo,,Damage Over Time | Corruption | Lifetap,Necromancer
48,Life Guzzle,"Guzzles your target's life force, dealing 450 damage and healing you for the same amount.",Evo,,Direct Damage | Corruption | Lifetap,Necromancer
48,Persuade Undead,"Charm a target undead, forcing them to fight alongside you,",Con,,Charm | (undead only),Necromancer
48,Rippling Shadows,"Conjures rippling shadows, slowing your targets movement speed by 65% and inflicting 45 Corruption Damage every 6 seconds for 84 seconds.",Alt,,Damage Over Time | Corruption | Snare,Necromancer
48,Skeleton Pet Tier 13,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,,Pet,Necromancer
48,Void Strength,"Void power from your target, decreasing their Strength by 15 and increasing yours by the same amount for 5 minutes.",Alt,,Stat Debuff | +STR,Necromancer
48,Zombie Pet Tier 13,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,,Pet,Necromancer
50,Shed Flesh,"Shed away your flesh, increasing your Mana Regeneration by 20 at the cost of 25 Health every 6 seconds.",Alt,,Mana Regen | Shapeshift | (self only),Necromancer
52,Ghoul Pet Tier 14,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,,Pet | Snare,Necromancer
52,Inexorable Dead,"Infuse your pet with inexorable might, increasing their Attack Speed by 40% and Strength by 15.",Alt,,+STR | Melee Haste | (pet only),Necromancer
52,Skeleton Pet Tier 14,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,,Pet,Necromancer
52,Zombie Pet Tier 14,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,,Pet,Necromancer
54,Life Duct,"Ducts your target's life force, dealing 750 damage and healing you for the same amount.",Evo,,Direct Damage | Corruption | Lifetap,Necromancer
55,Lich,"Surrender your body to lichdom, increasing your Mana Regeneration by 25 at the cost of 30 Health every 6 seconds.",Alt,,Mana Regen | Shapeshift | (self only),Necromancer
56,Assail the Dead,Wards an undead target with holy energy for 525 points of Holy Damage.,Evo,,Direct Damage | Holy | (undead only),Necromancer
56,Ghoul Pet Tier 15,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,,Pet | Snare,Necromancer
56,Lethal Deluge,"Showers your target in a lethal deluge, dealing 400 damage and an additional 200 Poison damage every 6 seconds for 30 seconds.",Con,,Direct Damage | Damage Over Time | Poison,Necromancer
56,Skeleton Pet Tier 15,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,,Pet,Necromancer
56,Summon Exceptional Lifestone,"Imbue part of your life force into an Exceptional Lifestone, costing you 1480 Health. Grants 1110 Health when consumed. This item can be traded to other players, and will be lost when logging out after a short period of time.",Con,,Summon Lifestone,Necromancer
56,Virulent Virus,"Infect your target with a virus, dealing 125 Disease Damage every 6 seconds for 1 minute.",Con,,Damage Over Time | Disease,Necromancer
56,Zombie Pet Tier 15,"Reanimates bodies from the dead, creating a Zombie minion to serve you.",Con,,Pet,Necromancer
57,Demi Lich,"Surrender your body to demi-lichdom, increasing your Mana Regeneration by 30 at the cost of 45 Health every 6 seconds.",Alt,,Mana Regen | Shapeshift | (self only),Necromancer
60,Arch Lich,"Surrender your body to arch-lichdom, increasing your Mana Regeneration by 35 at the cost of 50 Health every 6 seconds.",Alt,,Mana Regen | Shapeshift | (self only),Necromancer
60,Covenant of Shadow,"Form a covenant of shadow with your target, restoring 200 Health every 6 seconds and draining yours by the same amount for 24 seconds.",Alt,,Transfer Health,Necromancer
60,Ghoul Pet Tier 16,"Reanimates bodies from the dead, creating a Ghoul minion to serve you. This pet uses Ghoul Tendrils. Persists until death of pet or master. Requires Ghoul Skin.",Con,,Pet | Snare,Necromancer
60,Leech Anima,"Leech the anima of your target, dealing 120 Corruption Damage every 6 seconds and restoring your Health by the same amount for 1 minute.",Evo,,Damage Over Time | Corruption | Lifetap,Necromancer
60,Lich Spirit,"Surrender your body to spiritual lichdom, increasing your Mana Regeneration by 100 at the cost of 150 Health every 6 seconds.",Alt,,Mana Regen | Shapeshift | (self only),Necromancer
60,Life Flume,"Flumes your target's life force, dealing 900 Damage and healing you for the same amount.",Evo,450,Direct Damage | Corruption | Lifetap,Necromancer
60,Sacrifice,"Sacrifice a target group member, capturing their departing life into a soul essence.",Evo,,Misc.,Necromancer
60,Seething Shadows,"Conjures seething shadows, slowing your targets movement speed by 70% and inflicting 60 Corruption Damage every 6 seconds for 96 seconds.",Alt,,Damage Over Time | Corruption | Snare,Necromancer
60,Skeleton Pet Tier 16,"Reanimates bones from the dead, creating a skeleton minion to serve you. This pet uses Strike. Persists until death of master. Requires Bone Chips.",Con,,Pet,Necromancer
60,Spirit Shatter,"Shatter the spiritual defenses of your target, decreasing their Corruption, Holy, and Magic Resistance by 10. This spell is unresistable if the target is not immune to magic or it can otherwise be landed normally.",Alt,,Lower Resistance | Corruption | Holy | Magic,Necromancer
60,Zombie Pet Tier 16,"Reanimates bodies from the dead, creating a Zombie minion to serve you. This pet uses Unnerving Wail. Persists until death of pet or master. Requires Zombie Skin.",Con,,Pet,Necromancer
1,Arcane Infusion,"Infuse your mind with the arcane, increasing your Mana Regeneration by 1(L1) to 10(L60) and Casting Speed by 10%. Additionally, when you land a killing blow with any of your offensive spells, a portion of the spell's Mana cost is refunded based on the effective damage dealt.",Alt,10,Mana Regen | Spell Haste | (self only),Wizard
1,Electricity Protection,"Wards your target from shock, increasing their Electricity Resistance by 5.",Abj,10,Resist | Electricity,Wizard
1,Flameburst,"Unleashes a burst of flame upon your target, dealing 3(L1) to 6(L4) Fire Damage.",Evo,7,Direct Damage | Fire,Wizard
1,Frost Bolt,"Blast your target with a frost bolt, dealing 2(L1) to 3(L4) Cold Damage and decreasing their Movement Speed by 50% for 6 seconds.",Evo,5,Direct Damage | Cold | Snare,Wizard
1,Invisibility,Shrouds your target with invisibility. This spell has a slight chance to end early.,Div,20,Invisibility,Wizard
1,Magic Protection,"Wards your target from the arcane, increasing their Magic Resistance by 5.",Abj,10,Resist | Magic,Wizard
1,Minor Spellshield,"A magical shield encircles you, increasing your HP by 10, AC by 5, and Magic Resistance by 5.",Abj,10,+HP | +AC | Resist | Magic | (self only),Wizard
1,Polar Align: North,Magically aligns your facing towards the North Pole.,Div,5,Misc. | (self only),Wizard
1,Imbue: Arcane Filament,"Imbue your staff with a mote of arcane power, allowing you to channel your mana to attack foes.",Alt,25,(self only),Wizard
4,Acuity,"Haste your target's mind, increasing their Casting Speed by 10% for 30 minutes.",Alt,10,Spell Haste,Wizard
4,Blink,Teleport yourself a short distance forward.,Evo,10,Teleport | (self only),Wizard
4,Dispel Magic,Removes a harmful magical effect from your current target.,Alt,25,Cure | Magic,Wizard
4,Fireburst,Bursts your target with fire for 12 (L4) to 15 (L7) points of Fire Damage.,Evo,15,Direct Damage | Fire,Wizard
4,Gate,Teleport yourself to your bind location.,Alt,55,Gate | (self only),Wizard
4,Root,"Roots emerge from the ground and cling to your target's feet, applying an immobilize effect for 30 seconds. This effect has a chance to be removed by Damage or end early.",Alt,15,Root,Wizard
4,Seal of Magic,"Channels magical energy through you, giving each melee swing a chance to apply Mark of Magic, and increasing all spell damage inflicted to the target by 4% per application. Max 5 stacks.",Alt,10,Spell Damage Vulnerability,Wizard
4,See Invisibility,"Glaze the eyes of your target with a magical coating, granting them the ability to see invisible entities.",Div,20,Misc.,Wizard
4,Sense Magic,Grants your target the ability to see buff effect when you consider them.,Div,20,Misc.,Wizard
4,Soulbind,Binds your target's soul to their current location. Not guaranteed to work everywhere.,Alt,50,Bind,Wizard
4,Summon Mage Light,"Summon a Mage Light, creating a dim light which has enough fuel to last for a total of 15 minutes.",Con,40,Misc. | (self only),Wizard
4,Telekinetic Knockback,"Leverage the mind to knock your target backwards, stunning them for 3 seconds.",Evo,15,Stun,Wizard
4,Mana Orbs,"Launch two orbs of pure mana at your target, dealing 1 (L4) to 4 (L12) Magic damage.",Evo,0,Direct Damage | Magic,Wizard
8,Blanket of Flame,Unleashes a blanket of flame hitting your target and up to 3 nearby targets of 30 points of Fire Damage.,Evo,40,AoE | Direct Damage | Fire,Wizard
8,Lesser Lure of Flame,"Unleash hard to resist, fiery magic upon your target for 25 points of Fire Damage.",Evo,30,Direct Damage | Fire,Wizard
8,Lesser Lure of Frost,"Unleash hard to resist, icy magic upon your target for 25 points of Cold Damage.",Evo,30,Direct Damage | Cold,Wizard
8,Lesser Spellshield,"A magical shield encircles you, increasing your HP by 25, AC by 10, and Magic Resistance by 10.",Abj,25,+HP | +AC | Resist | Magic | (self only),Wizard
8,Magmaburst,Bursts your target with magma for 40 points of Fire Damage.,Evo,30,Direct Damage | Fire,Wizard
8,Purge,"Purge an enemy, dispelling a magical effect.",Alt,20,Purge | Magic,Wizard
12,Bind Vision,"Bind Vision with your target, granting you the ability to see through their eyes.",Div,10,Misc. | (self only),Wizard
12,Electric Shock,Shocks your target with electricity for 80 points of Magic Damage and stunning them for 0.1 seconds.,Evo,55,Direct Damage | Magic | Stun,Wizard
12,Mana Darts,"Launch three darts of pure mana at your target, dealing 4 (L12) to 8 (L20) Magic Damage.",Evo,0,Direct Damage | Magic,Wizard
16,Blanket of Fire,Unleashes a blanket of fire hitting your target and up to 3 nearby targets for 75 points of Fire Damage.,Evo,80,AoE | Direct Damage | Fire,Wizard
16,Evershade Weald Gate,Teleport yourself to Evershade Weald.,Alt,125,Teleport | (self only),Wizard
16,Exodus,Teleport yourself to a safe location.,Alt,70,Teleport | (self only),Wizard
16,Guile,"Hastens the mind of an ally, increasing their Casting Speed by 15% for 30 minutes.",Alt,30,Spell Haste,Wizard
16,Ice Bolt,"Launches a Ice Bolt at your target, causing 40 Cold Damage and slowing their Movement Speed for 6 seconds.",Evo,30,Direct Damage | Cold | Snare,Wizard
16,Lavaburst,Bursts your target with lava for 120 points of Fire Damage.,Evo,75,Direct Damage | Fire,Wizard
16,Lesser Lure of Fire,"Unleash hard to resist, fiery magic upon your target for 75 points of Fire Damage.",Evo,75,Direct Damage | Fire,Wizard
16,Lesser Lure of Ice,"Unleash hard to resist, icy magic upon your target for 75 points of Cold Damage.",Evo,75,Direct Damage | Cold,Wizard
16,Recharge Item,"Recharges an item's effects, recovering lost charges.",Alt,10,Misc.,Wizard
16,Spellshield,"A magical shield encircles you, increasing your HP by 50, AC by 15, and Magic Resistance by 15.",Abj,50,+HP | +AC | Resist | Magic | (self only),Wizard
16,Shaded Dunes Gate,Teleport yourself to Shaded Dunes.,Alt,125,Teleport | (self only),Wizard
20,Arcane Invocation,"Invoke the arcane, restoring 55 (L20) to 165 (L60) Mana as you channel every 2 seconds for 10 seconds.",Alt,0,Mana Regen | (self only),Wizard
20,Electric Wave,"Zap your target with an electric wave, dealing 165 Electricity Damage and stunning them for 0.1 second.",Evo,90,Direct Damage | Electricity | Stun,Wizard
20,Greater Purge,"Purge an enemy and up to 5 additional nearby targets, dispelling a magical effect, as well as all songs and immunities.",Alt,150,AoE | Purge | Magic,Wizard
20,Mana Arrows,"Launch arrows of pure mana at your target, dealing 8 (L20) to 12 (L28) Magic Damage four times.",Evo,0,Direct Damage | Magic,Wizard
20,Invert Gravity,"Blast your target with an anti-gravity wave, launching them into the air.",Evo,9999,Direct Damage | Misc.,Wizard
24,Arcane Bonds,"Summon Arcane Bonds, that cling to the feet of your target and three other targets within 8 meters, applying a 50% Snare effect for 2 minutes.",Alt,70,AoE | Snare,Wizard
24,Blanket of Magma,"Engulf your target and those around it in a blanket of magma, dealing 135 Fire Damage.",Evo,125,Direct Damage | Fire,Wizard
24,Blaze,Engulfs your target with a blaze for 200 points of Fire Damage.,Evo,105,Direct Damage | Fire,Wizard
24,Electricity Resistance,"Greatly wards your target from shock, increasing their Electricity Resistance by 15.",Abj,40,Resist | Electricity,Wizard
24,Greater Spellshield,"A magical shield encircles you, increasing your HP by 75, AC by 20, and Magic Resistance by 20.",Abj,75,+HP | +AC | Resist | Magic | (self only),Wizard
24,Lesser Lure of Freezing,"Unleash hard to resist, icy magic upon your target for 125 points of Cold Damage.",Evo,,Direct Damage | Cold,Wizard
24,Lesser Lure of Magma,"Unleash hard to resist, fiery magic upon your target for 125 points of Fire Damage.",Evo,105,Direct Damage | Fire,Wizard
24,Magic Resistance,"Greatly wards your target from the arcane, increasing their Magic Resistance by 15.",Abj,40,Resist | Magic,Wizard
24,Glass Flats Gate,"Teleport yourself, relocating to Glass Flats.",Alt,125,Teleport | (self only),Wizard
24,Vale of Zintar Gate,"Teleport yourself, relocating to Vale of Zintar.",Alt,125,Teleport | (self only),Wizard
24,Shaded Dunes Portal,Send your group through a portal to Shaded Dunes.,Alt,300,Teleport,Wizard
24,Evershade Weald Portal,Send your group through a portal to Evershade Weald.,Alt,300,Teleport,Wizard
28,Electric Current,"Zap your target with electric current, dealing 270 Electricity Damage and stunning them for 0.1 second.",Alt,,Direct Damage | Electricity | Stun,Wizard
32,Abolish Magic,Removes two magical effects from your current target.,Alt,,Cure | Purge | Magic,Wizard
32,Blanket of Lava,Unleashes a blanket of lava hitting your target and up to 3 nearby targets for 225 points of Fire Damage.,Evo,,AoE | Direct Damage | Fire,Wizard
32,Exceptional Spellshield,"A magical shield encircles you, increasing your HP by 100, AC by 25, and Magic Resistance by 25.",Abj,,+HP | +AC | Resist | Magic | (self only),Wizard
32,Freezing Bolt,"Launches a Freezing Bolt at your target, causing 120 Cold Damage and slowing their Movement Speed for 6 seconds.",Evo,,Direct Damage | Cold | Snare,Wizard
32,Glass Flats Portal,Send your group through a portal to Glass Flats.,Alt,,Teleport,Wizard
32,Lightning Synapses,"Haste your target's mind, increasing their Casting Speed by 20% for 30 minutes.",Evo,,Spell Haste,Wizard
32,Vale of Zintar Portal,Send your group through a portal to Vale of Zintar.,Alt,,Teleport,Wizard
36,Evacuation: Evershade Weald,"Evacuate your group, relocating them to Evershade Weald.",Alt,,Teleport,Wizard
36,Evacuation: Shaded Dunes,"Evacuate your group, relocating them to Shaded Dunes.",Alt,,Teleport,Wizard
36,Inferno,Engulfs your target with an inferno for 325 points of Fire Damage,Evo,,Direct Damage | Fire,Wizard
36,Lesser Lure of Chilling,"Unleash hard to resist, icy magic upon your target for 205 points of Cold Damage.",Evo,,Direct Damage | Cold,Wizard
36,Lesser Lure of Lava,"Unleash hard to resist, fiery magic upon your target for 205 points of Fire Damage.",Evo,,Direct Damage | Fire,Wizard
40,Arch Spellshield,"A magical shield encircles you, increasing your HP by 150, AC by 30, and Magic Resistance by 30.",Abj,,+HP | +AC | Resist | Magic | (self only),Wizard
40,Electric Jolt,"Zap your target with an electric jolt, dealing 450 Electricity Damage and stunning them for 0.1 second.",Evo,175,Direct Damage | Electricity | Stun,Wizard
40,Evacuation: Vale of Zintar,"Evacuate your group, relocating them to Vale of Zintar.",Alt,,Teleport,Wizard
40,Mantle of Flame,"Engulf your target and those around it in a mantle of flame, dealing 325 Fire Damage. Hits up to 4 targets.",Evo,200,AoE | Direct Damage | Fire,Wizard
40,Evacuation: Glass Flats,"Evacuate your group, relocating them to Glass Flats.",Alt,,Teleport,Wizard
48,Arcane Shackles,"Summon Arcane Shackles that cling to the feet of your target and three other targets within 8 meters, applying a 60% Snare effect for 4 minutes.",Alt,,AoE | Snare,Wizard
